INLINE ClassSkillTable,Skill
0x00 Separator/Nothing,0x0
0x01 Ephraim Lord,0x0
0x02 Eirika Lord,RepositionID
0x03 Ephraim Great Lord,CantoID
0x04 Eirika Great Lord,RepositionID
0x05 Cavalier,CantoPlusID
0x06 Cavalier (F),CantoPlusID
0x07 Paladin,CantoPlusID
0x08 Paladin (F),CantoPlusID
0x09 Armour Knight,RepositionID
0x0A Armour Knight (F),RepositionID
0x0B General,RepositionID
0x0C General (F),RepositionID
0x0D Thief,PivotID
0x0E Manakete,PivotID
0x0F Mercenary,ShoveID
0x10 Mercenary (F),ShoveID
0x11 Hero,ShoveID
0x12 Hero (F),ShoveID
0x13 Myrmidon,PivotID
0x14 Myrmidon (F),PivotID
0x15 Swordmaster,PivotID
0x16 Swordmaster (F),PivotID
0x17 Assassin,PivotID
0x18 Assassin (F),PivotID
0x19 Archer,SwapID
0x1A Archer (F),SwapID
0x1B Sniper,SwapID
0x1C Sniper (F),SwapID
0x1D Ranger,CantoPlusID
0x1E Ranger (F),CantoPlusID
0x1F Wyvern Rider,CantoPlusID
0x20 Pegasus Knight (M),CantoPlusID
0x21 Wyvern Lord,CantoPlusID
0x22 Falcon Knight (M),CantoPlusID
0x23 Wyvern Knight,CantoPlusID
0x24 Wyvern Knight (F),CantoPlusID
0x25 Mage,SwapID
0x26 Mage (F),SwapID
0x27 Sage,SwapID
0x28 Sage (F),SwapID
0x29 Mage Knight,CantoPlusID
0x2A Mage Knight (F),CantoPlusID
0x2B Bishop,SwapID
0x2C Bishop (F),SwapID
0x2D Shaman,SwapID
0x2E Shaman (F),SwapID
0x2F Druid,SwapID
0x30 Druid (F),SwapID
0x31 Summoner,SummonID
0x32 Summoner (F),SwapID
0x33 Rogue,PivotID
0x34 Gorgon Egg,0x0
0x35 Great Knight,CantoPlusID
0x36 Great Knight (F),CantoPlusID
0x37 Recruit (2),0x0
0x38 Journeyman (3),0x0
0x39 Pupil (3),0x0
0x3A Recruit (3),0x0
0x3B Manakete,0x0
0x3C Manakete (F),0x0
0x3D Journeyman (1),0x0
0x3E Pupil (1),0x0
0x3F Fighter,ShoveID
0x40 Warrior,ShoveID
0x41 Brigand,PivotID
0x42 Pirate,PivotID
0x43 Berserker,PivotID
0x44 Monk,0x0
0x45 Priest,SwapID
0x46 Bard,0x0
0x47 Recruit (1),0x0
0x48 Pegasus Knight,CantoPlusID
0x49 Falcon Knight,CantoPlusID
0x4A Cleric,SwapID
0x4B Troubadour,CantoPlusID
0x4C Valkyrie,CantoPlusID
0x4D Dancer,RepositionID
0x4E Soldier,ShoveID
0x4F Necromancer,0x0
0x50 Fleet,0x0
0x51 Phantom,0x0
0x52 Revenant,0x0
0x53 Entombed,0x0
0x54 Freelancer,ShoveID
0x55 Freelancer_F,ShoveID
0x56 Champion,ShoveID
0x57 Champion_F,ShoveID
0x58 Soldier (F),ShoveID
0x59 Elder Bael,0x0
0x5A Cyclops,0x0
0x5B Mauthe Doog,0x0
0x5C Gwyllgi,0x0
0x5D Tarvos,0x0
0x5E Maelduin,0x0
0x5F Mogall,0x0
0x60 Arch Mogall,0x0
0x61 Gorgon,0x0
0x62 Gorgon Egg,0x0
0x63 Gargoyle,0x0
0x64 Deathgoyle,0x0
0x65 Dracozombie,0x0
0x66 Demon King,SummonID
0x67 Archer on Ballista,0x0
0x68 Archer on Iron Ballista,0x0
0x69 Archer on Killer Ballista,0x0
0x6A Ballista,0x0
0x6B Iron Ballista,0x0
0x6C Killer Ballista,0x0
0x6D Civilian,0x0
0x6E Civilian (F),0x0
0x6F Civilian,0x0
0x70 Civilian (F),0x0
0x71 Civilian,0x0
0x72 Civilian (F),0x0
0x73 Peer,0x0
0x74 Queen,0x0
0x75 Prince,0x0
0x76 Queen,0x0
0x77 (empty),0x0
0x78 Fallen Prince,0x0
0x79 Tent,0x0
0x7A Pontifex,0x0
0x7B Fallen Peer,0x0
0x7C Cyclops 2,0x0
0x7D Elder Bael 2,0x0
0x7E Cavalier (S),CantoPlusID
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
0,0x0
